年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2018,宗教場所, -,萬和宮,臺中市,66000,23280,43660,21170,24600,27010,20060,22810,13640,25480,22570,21960,24300,290540
2018,宗教場所, -,大甲鎮瀾宮,臺中市,66000,72900,104000,97500,95000,85000,59500,69000,53000,67500,65000,68250,68000,904650
2018,宗教場所, -,清水祖師廟,新北市,65000,2075,3596,1230,1892,1329,1096,1158,595,960,1655,1523,1175,18284
2018,宗教場所, -,法鼓山世界佛教教育園區,新北市,65000,13558,52541,20958,23055,18460,12958,16755,15073,18152,17958,19616,19385,248469
2018,宗教場所, -,鹿港龍山寺,彰化縣,10007,86463,659310,101250,112750,56790,71420,106557,57822,86733,79630,64560,86580,1569865
2018,其他, -,花蓮海洋公園,花蓮縣,10015,19006,25195,20317,54495,24133,34883,69044,69342,29395,27718,21569,39446,434543
2018,其他, -,原生應用植物園,臺東縣,10014,8741,11566,13333,16362,10746,9674,18563,15193,8167,12627,11602,19149,155723
2018,其他, -,布農部落,臺東縣,10014,6356,8678,6870,9086,5618,6899,11852,9373,4590,6583,7061,12385,95351
2018,其他, -,花蓮觀光糖廠,花蓮縣,10015,25797,60007,37170,56955,40515,43970,65886,73086,43044,30996,28920,41941,548287
2018,其他, -,立川漁場,花蓮縣,10015,14627,0,16800,29500,29300,29385,52700,36000,40200,27141,25470,35700,336823
2018,其他, -,九族文化村,南投縣,10008,39567,152791,115520,83657,49399,34776,47833,47096,27881,43079,49051,49678,740328
2018,其他, -,國民革命忠烈祠,臺北市,63000,140058,124122,160979,132435,140345,137269,115837,129310,124396,153259,162360,148495,1668865
2018,其他, -,國立臺灣藝術教育館,臺北市,63000,20383,21779,24674,40445,19135,18115,25399,21060,17580,18865,27135,24960,279530
2018,其他, -,市立動物園,臺北市,63000,247859,320457,328524,365104,219881,195516,259374,236031,193774,302296,290945,292697,3252458
2018,其他, -,士林官邸公園,臺北市,63000,143171,578983,215449,349367,141021,105290,103030,116805,75227,133995,126339,715807,2804484
2018,其他, -,臺北自來水園區,臺北市,63000,71909,85613,88116,97966,109863,132261,159412,128959,85185,85463,78441,93099,1216287
2018,其他, -,十分瀑布,新北市,65000,243900,305000,265000,241000,187500,214500,232500,222300,224000,233000,225700,199400,2793800
2018,其他, -,十分旅遊服務中心,新北市,65000,391500,583000,492300,389000,300500,292000,385500,289600,275000,288000,255000,253000,4194400
2018,其他, -,淡水漁人碼頭,新北市,65000,192280,248722,278544,243788,247178,258165,293684,260116,248211,289291,288701,279908,3128588
2018,其他, -,猴硐煤礦博物園區,新北市,65000,88300,118500,70100,90500,83000,88500,88600,95050,67000,80000,72800,81500,1023850
2018,其他, -,水湳洞遊客中心,新北市,65000,49200,53800,43500,54100,51500,51200,83500,93050,65800,76600,71400,80300,773950
2018,其他, -,蘇澳冷泉,宜蘭縣,10002,0,204,491,1596,5370,10427,19915,18792,5753,801,463,310,64122
2018,其他, -,國立傳統藝術中心,宜蘭縣,10002,57180,119078,72425,100224,72093,74215,112730,119661,72029,79750,75703,99471,1054559
2018,其他, -,蘭陽博物園區,宜蘭縣,10002,35679,46382,42394,66147,57234,57257,92919,92716,58696,59857,40627,59308,709216
2018,其他, -,慈湖,桃園市,68000,74634,77892,68964,77284,63574,57928,63620,53888,45322,59727,51037,60720,754590
2018,其他, -,大坑登山步道,臺中市,66000,206321,219353,219801,225168,233165,246397,263647,274542,295317,262216,251408,199321,2896656
2018,其他, -,福壽山農場,臺中市,66000,8667,13318,15125,13042,9541,11741,21170,17867,10977,23400,63599,35060,243507
2018,其他, -,后里馬場,臺中市,66000,0,0,0,0,0,0,0,0,0,0,796897,1019178,1816075
2018,其他, -,梧棲觀光漁港,臺中市,66000,100080,126560,101148,130810,106870,113309,125882,109420,152249,155813,183210,214923,1620274
2018,其他, -,臺中都會公園,臺中市,66000,52409,75238,49616,56163,29522,25239,23236,17725,41279,49803,52079,34575,506884
2018,其他, -,草悟道,臺中市,66000,481241,650705,510591,581081,524603,497196,578074,457555,588561,556051,491967,478881,6396506
2018,其他, -,東豐自行車綠廊及后豐鐵馬道,臺中市,66000,730490,984478,860007,1140235,792330,691806,768472,674443,786316,963074,827048,782114,10000813
2018,其他, -,國立自然科學博物館鳳凰谷鳥園生態園區,南投縣,10008,6944,12299,14501,20552,14669,10517,15530,11940,9913,10357,9526,12998,149746
2018,其他, -,清境農場,南投縣,10008,80863,116274,99898,112255,78588,95357,129108,128487,81546,117887,115898,148423,1304584
2018,其他, -,武陵農場,臺中市,66000,24119,62109,48215,26039,16848,19987,32844,29871,16132,22185,38369,37869,374587
2018,其他, -,行政院農業委員會特有生物研究保育中心,南投縣,10008,3237,3155,4457,6099,5562,3570,6667,5732,3261,5496,5413,3491,56140
2018,其他, -,竹山天梯風景區,南投縣,10008,3797,6539,4716,7128,481,0,0,0,0,0,0,0,22661
2018,其他, -,天空之橋,南投縣,10008,18423,28274,21573,27996,15672,13477,18528,14997,13276,17560,17005,22388,229169
2018,其他, -,尖山埤江南渡假村,臺南市,10021,18670,22671,23732,31522,30547,21234,21635,15120,24762,32479,27984,31187,301543
2018,其他, -,烏樹林休閒園區,臺南市,10021,4120,6958,9353,11193,8759,6119,5513,4293,5025,7331,7287,8615,84566
2018,其他, -,壽山動物園,高雄市,64000,66658,96416,60066,101276,44986,34453,71756,40852,36847,58527,53250,85280,750367
2018,其他, -,打狗英國領事館文化園區,高雄市,64000,36393,49839,31402,36075,26989,24252,29699,31225,24536,30723,30445,43553,395131
2018,其他, -,蓮池潭,高雄市,64000,323455,392018,319106,369010,338748,336816,333397,290502,335065,1800863,398120,391652,5628752
2018,其他, -,高雄市文化中心,高雄市,64000,202613,226156,196088,197109,203446,173124,180843,108265,134952,183830,213747,171717,2191890
2018,其他, -,世運主場館,高雄市,64000,55013,117045,51473,62425,49433,41953,46904,44259,48725,69815,58576,62427,708048
